GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period
44,2022-23,2.2,1.9,0.4,0.2,0.1,0.3,Precious Achiuwa,1
52,2022-23,3.0,1.6,0.3,0.2,0.2,0.3,Precious Achiuwa,2
44,2022-23,2.1,1.8,0.2,0.0,0.1,0.2,Precious Achiuwa,3
50,2022-23,3.3,1.7,0.2,0.3,0.2,0.4,Precious Achiuwa,4
42,2022-23,3.0,3.5,0.8,0.3,0.4,0.5,Steven Adams,1
42,2022-23,2.2,3.0,0.5,0.2,0.2,0.4,Steven Adams,2
42,2022-23,2.3,3.3,0.6,0.3,0.3,0.6,Steven Adams,3
29,2022-23,1.5,2.6,0.6,0.1,0.2,0.5,Steven Adams,4
75,2022-23,5.0,2.1,0.8,0.3,0.2,0.6,Bam Adebayo,1
74,2022-23,5.2,2.3,0.9,0.2,0.2,0.6,Bam Adebayo,2
74,2022-23,4.7,2.4,0.6,0.2,0.2,0.7,Bam Adebayo,3
71,2022-23,5.8,2.5,0.9,0.5,0.2,0.7,Bam Adebayo,4
43,2022-23,3.1,0.7,0.5,0.1,0.1,0.3,Ochai Agbaji,1
47,2022-23,1.8,0.6,0.3,0.1,0.0,0.2,Ochai Agbaji,2
41,2022-23,2.9,0.7,0.5,0.1,0.1,0.3,Ochai Agbaji,3
53,2022-23,2.5,0.6,0.2,0.1,0.1,0.1,Ochai Agbaji,4
77,2022-23,2.8,1.4,0.4,0.2,0.2,0.2,Santi Aldama,1
74,2022-23,2.6,1.4,0.4,0.2,0.2,0.2,Santi Aldama,2
75,2022-23,2.7,1.3,0.4,0.2,0.1,0.2,Santi Aldama,3
61,2022-23,1.5,1.1,0.2,0.1,0.2,0.2,Santi Aldama,4
39,2022-23,1.9,0.7,0.5,0.2,0.1,0.3,Nickeil Alexander-Walker,1
45,2022-23,2.5,0.7,1.0,0.2,0.0,0.4,Nickeil Alexander-Walker,2
40,2022-23,1.8,0.3,0.4,0.2,0.1,0.2,Nickeil Alexander-Walker,3
51,2022-23,2.0,0.6,0.6,0.2,0.2,0.4,Nickeil Alexander-Walker,4
72,2022-23,3.1,1.0,0.7,0.2,0.1,0.2,Grayson Allen,1
72,2022-23,2.2,0.9,0.5,0.2,0.1,0.3,Grayson Allen,2
70,2022-23,2.7,0.8,0.4,0.2,0.0,0.2,Grayson Allen,3
62,2022-23,2.8,0.7,0.7,0.3,0.1,0.3,Grayson Allen,4
68,2022-23,4.5,2.6,0.5,0.3,0.3,0.3,Jarrett Allen,1
66,2022-23,3.6,2.2,0.4,0.2,0.3,0.4,Jarrett Allen,2
66,2022-23,3.7,2.8,0.4,0.2,0.4,0.4,Jarrett Allen,3
61,2022-23,2.9,2.4,0.3,0.1,0.3,0.4,Jarrett Allen,4
52,2022-23,2.3,0.6,0.9,0.3,0.1,0.3,Jose Alvarado,1
60,2022-23,2.7,0.7,1.0,0.3,0.0,0.5,Jose Alvarado,2
53,2022-23,2.1,0.5,0.7,0.3,0.1,0.3,Jose Alvarado,3
55,2022-23,2.7,0.8,0.9,0.3,0.0,0.4,Jose Alvarado,4
69,2022-23,2.6,1.1,1.1,0.3,0.2,0.2,Kyle Anderson,1
64,2022-23,2.2,1.4,1.3,0.3,0.2,0.5,Kyle Anderson,2
66,2022-23,2.7,1.5,1.3,0.3,0.2,0.5,Kyle Anderson,3
65,2022-23,2.2,1.4,1.3,0.3,0.3,0.3,Kyle Anderson,4
63,2022-23,7.9,3.5,1.5,0.3,0.2,1.0,Giannis Antetokounmpo,1
62,2022-23,6.8,2.7,1.5,0.2,0.2,0.9,Giannis Antetokounmpo,2
61,2022-23,9.1,3.0,1.4,0.2,0.1,1.0,Giannis Antetokounmpo,3
56,2022-23,8.6,3.0,1.5,0.2,0.2,1.1,Giannis Antetokounmpo,4
